用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
重庆江津法院	3918556037	JgGee0tZo	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。（蒋云龙  何超 曲成新） L人民日报的微博视频 ​	2020年08月19日 21:59		1	1	https://weibo.com/3918556037/JgGee0tZo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGee0tZo?uid=3918556037&rl=1
陪俊凯去环游	3883359294	JgGdL46Lu	#航拍洪水中的重庆#愿洪水早日退去🙏🙏🙏 ​	2020年08月19日 21:58			1	https://weibo.com/3883359294/JgGdL46Lu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGdL46Lu?uid=3883359294&rl=1
2020要灯火可亲有梦可做	6278989856	JgGdJ00z9	#航拍洪水中的重庆#天呐！快点好起来吧 ​	2020年08月19日 21:58		评论		https://weibo.com/6278989856/JgGdJ00z9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGdJ00z9?uid=6278989856&rl=1
海绵宝宝的兔子吖	6902562447	JgGdylz61	#航拍洪水中的重庆#愿平安，一切安全🙏🙏🙏🙏 ​	2020年08月19日 21:58	1	2	11	https://weibo.com/6902562447/JgGdylz61?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGdylz61?uid=6902562447&rl=1
合肥徽商广播	1727747885	JgGd8mtWH	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。L人民日报的微博视频 ​	2020年08月19日 21:57			2	https://weibo.com/1727747885/JgGd8mtWH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGd8mtWH?uid=1727747885&rl=1
青花女王	3893394407	JgGd5p9rj	最新爆料#航拍洪水中的重庆# 洪水中傲视群雄…… L青花女王的微博视频 ​	2020年08月19日 21:56	3	3	4	https://weibo.com/3893394407/JgGd5p9rj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGd5p9rj?uid=3893394407&rl=1
仙女就爱困	3108513923	JgGcN66jM	#航拍洪水中的重庆#重庆人民表示虽然丝毫不慌 临危不乱 也求平安！🥺 2重庆 ​	2020年08月19日 21:56		1		https://weibo.com/3108513923/JgGcN66jM?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGcN66jM?uid=3108513923&rl=1
凤凰周刊	1267454277	JgGcxqfCV	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。#重庆轨道2号线变水上列车#   ​  展开全文c	2020年08月19日 21:55	46	38	170	https://weibo.com/1267454277/JgGcxqfCV?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGcxqfCV?uid=1267454277&rl=1
他好酥哦	2099584781	JgGc1s7mq	#航拍洪水中的重庆#愿平安🙏 ​	2020年08月19日 21:54		1		https://weibo.com/2099584781/JgGc1s7mq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGc1s7mq?uid=2099584781&rl=1
平安江苏	1935167034	JgGc0xQVr	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。（蒋云龙  何超 曲成新） L人民日报的微博视频 ​	2020年08月19日 21:54			3	https://weibo.com/1935167034/JgGc0xQVr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGc0xQVr?uid=1935167034&rl=1
湖南政法	5873139785	JgGbSDvjr	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。 L人民日报的微博视频 ​	2020年08月19日 21:53		评论		https://weibo.com/5873139785/JgGbSDvjr?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGbSDvjr?uid=5873139785&rl=1
各界新闻网官微	7126605018	JgGbC5Mn9	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。（蒋云龙  何超 曲成新） L人民日报的微博视频 ​	2020年08月19日 21:53			1	https://weibo.com/7126605018/JgGbC5Mn9?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGbC5Mn9?uid=7126605018&rl=1
广铁集团深圳北火车站	3978337923	JgGb6phnH	【愿平安！#航拍洪水中的重庆#】19日，长江第5号洪水正通过重庆主城中心城区段。据水文部门最新测报，此轮洪水将导致长江、嘉陵江重庆段多个站点超保。当日，重庆主城中心城区多个低洼地带遭遇洪水侵袭，包括洪崖洞、磁器口、朝天门等多处知名地标。（蒋云龙  何超 曲成新） L人民日报的微博视频 ​	2020年08月19日 21:52			2	https://weibo.com/3978337923/JgGb6phnH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGb6phnH?uid=3978337923&rl=1
小鹿晗情ing	7165782881	JgGaY7Udd	#航拍洪水中的重庆#祝当地政府可以想到办法。赶快结束洪水。 ​	2020年08月19日 21:51		1	2	https://weibo.com/7165782881/JgGaY7Udd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JgGaY7Udd?uid=7165782881&rl=1
