用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
宁檬不吃柠檬噢	6430033757	JiCqB4zAu	#谭松韵母亲车祸案肇事者父亲回应#日你仙人板板噢 ​	2020年09月01日 15:59		评论		https://weibo.com/6430033757/JiCqB4zAu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqB4zAu?uid=6430033757&rl=1
我才不是小饼干QAQ	7214522053	JiCqtmnKu	#谭松韵母亲车祸案肇事者父亲回应#气死我了，气死我了，希望人出事🙏 ​	2020年09月01日 15:59			1	https://weibo.com/7214522053/JiCqtmnKu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqtmnKu?uid=7214522053&rl=1
陕西广播电视报	7472681405	JiCqt0mHX	【#谭松韵母亲车祸案肇事者父亲回应#：未干涉庭审，事发后卖房联系赔偿】#西西新闻# 8月31日，知名女星谭松韵的母亲被撞身亡一案在四川省叙永县人民法院公开开庭审理。有网友指出，肇事者马某父亲系当地官员，或以职权干涉司法。据了解，肇事者父亲系叙永县文联原副主席，叙永县文联工作人员告诉记者， ​  展开全文c	2020年09月01日 15:59			2	https://weibo.com/7472681405/JiCqt0mHX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqt0mHX?uid=7472681405&rl=1
DAAABINGZ	3941396789	JiCqogDmP	#谭松韵母亲车祸案肇事者父亲回应#给爷爬 ​	2020年09月01日 15:59			1	https://weibo.com/3941396789/JiCqogDmP?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqogDmP?uid=3941396789&rl=1
爱看头条	1892327960	JiCqn5Js3	【#谭松韵母亲车祸案肇事者父亲回应#：未干涉庭审，事发后卖房联系赔偿】8月31日，知名女星谭松韵的母亲被撞身亡一案在四川省叙永县人民法院公开开庭审理。有网友指出，肇事者马某父亲系当地官员，或以职权干涉司法。据了解，肇事者父亲系叙永县文联原副主席，叙永县文联工作人员告诉记者，马父已退居 ​  展开全文c	2020年09月01日 15:59		2	1	https://weibo.com/1892327960/JiCqn5Js3?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqn5Js3?uid=1892327960&rl=1
惟愿静止	1878844960	JiCqlE9xn	#谭松韵母亲车祸案肇事者父亲回应#我还是相信，邪不胜正，善恶到头终有报的。 ​	2020年09月01日 15:59		评论		https://weibo.com/1878844960/JiCqlE9xn?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqlE9xn?uid=1878844960&rl=1
渝生常安	5260965809	JiCql2Msx	#谭松韵母亲车祸案肇事者父亲回应#查查家里几套房 ​	2020年09月01日 15:59			2	https://weibo.com/5260965809/JiCql2Msx?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCql2Msx?uid=5260965809&rl=1
爱的蔚蓝色晴空	3921942523	JiCql65eB	#谭松韵母亲车祸案肇事者父亲回应#  公众人物维权都这么难，那我们小老百姓不更被“封口”了吗？庭审时的那么多模棱两可，嘿嘿不拿百姓当回事这是 ​	2020年09月01日 15:59		1	26	https://weibo.com/3921942523/JiCql65eB?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCql65eB?uid=3921942523&rl=1
Danran02	6012334359	JiCqjCi1a	#谭松韵母亲车祸案肇事者父亲回应#公众人物维权之路都如此艰难，如果真的充满了各种“灰暗”，这个社会实在令人心寒。所谓处理就是第一时间想到花钱堵住受害者家属的嘴，毫无愧疚态度可言！地方政府官员态度和处理方式让人心寒，可想而知若一个普通人如何在官官相护的社会获得维护自己平等权利？ ​	2020年09月01日 15:59			3	https://weibo.com/6012334359/JiCqjCi1a?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqjCi1a?uid=6012334359&rl=1
调度员无常X	2887675230	JiCqjfbOG	#谭松韵母亲车祸案肇事者父亲回应#支持网络暴力走起！ ​	2020年09月01日 15:59			1	https://weibo.com/2887675230/JiCqjfbOG?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JiCqjfbOG?uid=2887675230&rl=1
