原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	曹丕妈妈本人	2327358122	曹丕妈妈本人:#亲爱的自己发布会##阚清子夸朱一龙#“ 太可爱了吧！现场还原太可爱了吧	赞[0]	2020-09-06 16:05:21	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	小废物殿下啊	5124051074	小废物殿下啊:这个发布会真的是非常的棒啊	赞[0]	2020-09-06 16:05:19	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	暴富了没有	2837157583	暴富了没有:#阚清子夸朱一龙#应该特好看吧！我觉得	赞[0]	2020-09-06 16:05:12	来自德玛西亚的Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	2021梅西冲冲	6413163474	2021梅西冲冲:转发微博	赞[0]	2020-09-06 16:05:04	来自iPhone客户端
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	曼珊最可爱	7373266786	曼珊最可爱:转发微博	赞[0]	2020-09-06 16:04:58	来自HUAWEI P20
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	李小草的火锅底料	5334841745	李小草的火锅底料:#阚清子夸朱一龙#	赞[0]	2020-09-06 16:04:58	来自前后2000万 OPPO R11
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	树深时见鹿海时蓝见鲸	3914284814	树深时见鹿海时蓝见鲸:转发微博	赞[0]	2020-09-06 16:04:08	来自vivo S1 Pro 升降自拍
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	那些年的回忆点滴	7305081715	那些年的回忆点滴:画面感挺强的，挺优秀的	赞[0]	2020-09-06 16:06:12	来自iPhone客户端
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	神明奈奈生酱呀	6378868343	神明奈奈生酱呀:#阚清子夸朱一龙#“朱一龙师哥，是我认识当红男演员里最神秘的演员”哈哈哈，好眼光！！	赞[0]	2020-09-06 16:05:59	来自新浪微博4G版
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	時間人物地點ya	5895130276	時間人物地點ya:朱一龙绝对是帅哥一枚，的确是好赞👍🏻	赞[0]	2020-09-06 16:05:45	来自
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	_伴你余生x	6249173278	_伴你余生x:#阚清子夸朱一龙#朱一龙确实很帅 很优秀哦 喜欢他	赞[0]	2020-09-06 16:05:42	来自OPPO R9s
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	嗨咯白白	2725330837	嗨咯白白:哈哈阚清子太有眼光了，我也觉得朱一龙超帅	赞[0]	2020-09-06 16:05:24	来自iPhone XS Max
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	Gigi小鱼儿	5126950349	Gigi小鱼儿:朱一龙真的帅气十足，演技也不错啊	赞[0]	2020-09-06 16:07:09	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	Gigi小鱼儿	5126950349	Gigi小鱼儿:阚清子也是非常的好看的	赞[0]	2020-09-06 16:06:47	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	情感心灵疗养师	7373985123	情感心灵疗养师:#阚清子夸朱一龙#阚清子的还原能力确实是非常的强。朱一龙确实是非常的帅气。	赞[0]	2020-09-06 16:06:44	来自vivo S7轻薄自拍旗舰
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	艾薇儿熊呢	6198348417	艾薇儿熊呢:太棒了喜欢太优秀啦	赞[0]	2020-09-06 16:06:40	来自iPhone客户端
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	醉挽清风丶江野	6564672899	醉挽清风丶江野:我还是很喜欢你，像讯飞输入法，一直不离不弃！	赞[0]	2020-09-06 16:06:23	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	今天吃鸡腿了吗h	6491285570	今天吃鸡腿了吗h:这也太帅了吧！！两个人颜值都好高呀	赞[0]	2020-09-06 16:06:19	来自iPhone客户端
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	Amnesia丶24	1795045460	Amnesia丶24:#阚清子夸朱一龙#  夸的太对了 龙哥真的好帅呀	赞[0]	2020-09-06 16:06:15	来自
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	天使之吻566	3948764988	天使之吻566:朱一龙确实很帅，演技也好！难怪阚清子夸奖了	赞[0]	2020-09-06 16:08:29	来自nova5i 2400万AI四摄
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	墨-歌	303318091	墨-歌:#阚清子夸朱一龙#帅气的朱一龙，演技也不错哦。	赞[0]	2020-09-06 16:08:16	来自
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	涵晓沫809	6095035031	涵晓沫809:哇哦帅气的不要不要的，期待你的电视剧	赞[0]	2020-09-06 16:07:52	来自iPhone客户端
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	豆腐c先生	tofush	豆腐c先生:#阚清子夸朱一龙#风度翩翩朱一龙，为你们打call，么么哒	赞[0]	2020-09-06 16:07:32	来自华为畅享9S超广角三摄
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	小纪烟袋2857	5788749355	小纪烟袋2857:#阚清子夸朱一龙#  现场，@阚清子 夸@朱一龙 说每次跟她打招呼，他都会善意地微笑，而且微笑很有感染力！	赞[0]	2020-09-06 16:07:31	来自Android
鲜娱君	:今天#亲爱的自己发布会#现场，#阚清子说朱一龙神秘#“朱一龙师哥，是我认识当红男演员里最神秘的演员”这画面感好强，感觉跟朱一龙面对面的就是我们哈哈哈，阚清子这画面还原能力好强！  鲜娱君的微博视频 	2020-09-06 16:02:58    	清清静静的日子	7312624640	清清静静的日子:#阚清子夸朱一龙#真的非常帅气，实力超强，演技超棒	赞[0]	2020-09-06 16:09:51	来自荣耀9青春版 全屏四摄
