原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	爱凡的A小姐	6571500802	爱凡的A小姐:转发微博	赞[0]	2020-08-02 16:29:50	来自小米8 SE
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	不吃香菜鱼w	6034626668	不吃香菜鱼w:转发微博	赞[0]	2020-08-02 16:48:42	来自小凡宝贝Android
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	红巾翠袖娟娟	7008223210	红巾翠袖娟娟:转发微博	赞[0]	2020-08-02 16:33:39	来自iPhone客户端
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	Fortitude凡_	5160438421	Fortitude凡_:转发微博	赞[0]	2020-08-02 16:30:49	来自HUAWEI P30
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	蓝日乐	5747626725	蓝日乐:吴亦凡李舒白	赞[0]	2020-08-02 16:30:27	来自HUAWEI Mate 20
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	KWu雨	5042701581	KWu雨:转发微博	赞[0]	2020-08-02 16:52:58	来自荣耀9 美得有声有色
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	aka高贵小仪	6874143965	aka高贵小仪://@俣亦凡旁边那个亻:原声	赞[0]	2020-08-02 16:52:53	来自iPhone客户端
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	混吃18	5953346587	混吃18:期待李舒白	赞[0]	2020-08-02 16:52:43	来自iPhone客户端
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	梅格妮54543	5686046341	梅格妮54543://@蓝日乐:吴亦凡李舒白	赞[0]	2020-08-02 16:51:23	来自vivo Y7s 屏幕指纹
芒果全娱乐	:吴亦凡青簪行预告cut #青簪行预告是原声#是凡凡的原声啊李舒白：我定会让所有人看清楚，我李舒白绝不是好惹的@Mr_凡先生 #吴亦凡原声台词# http://t.cn/A6UG3DUC 	2020-08-02 16:29:02    	20XX-老子是小飞象	5138612654	20XX-老子是小飞象:#吴亦凡李舒白# 	赞[0]	2020-08-02 16:50:46	来自前后2000万 OPPO R11
