用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
一亿亿颗星球	6983740383	Jk7URxYUU	#黄子韬爸爸去世#爸爸好年轻好优秀啊韬哥怎么接受得了啊代入感太强我太难受了😣 ​	2020年09月11日 13:59	1	评论		https://weibo.com/6983740383/Jk7URxYUU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7URxYUU?uid=6983740383&rl=1
不知道应该起什么名啊	7498423448	Jk7UPcklL	#黄子韬爸爸去世#愿天堂一切都好🙏🙏 ​	2020年09月11日 13:59		评论		https://weibo.com/7498423448/Jk7UPcklL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UPcklL?uid=7498423448&rl=1
我是个小漂亮	2145283050	Jk7UOhYG5	#黄子韬爸爸去世#我的天！！！这也太突然了吧 ​	2020年09月11日 13:59		评论		https://weibo.com/2145283050/Jk7UOhYG5?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UOhYG5?uid=2145283050&rl=1
amouris	2901581315	Jk7UNqUXe	#黄子韬爸爸去世#请不要消费韬韬，愿天堂没有病痛逝者安息。 ​	2020年09月11日 13:59			5	https://weibo.com/2901581315/Jk7UNqUXe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UNqUXe?uid=2901581315&rl=1
啊啊啊我跟你拼辣	2144056135	Jk7UMf1jH	#黄子韬爸爸去世#  这个真的好突然啊 ​	2020年09月11日 13:59		评论		https://weibo.com/2144056135/Jk7UMf1jH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UMf1jH?uid=2144056135&rl=1
鲜城济南	3083673182	Jk7UMf0Js	【#黄子韬爸爸去世# 】太突然了。。。11日，@龙韬娱乐 发布讣告称黄子韬父亲黄忠东于2020年9月11日病逝，享年52岁。害怕儿子被庸医耽误，就自己去学医；儿子在国外受了委屈，就把儿子接回来，自己给儿子开公司，他牺牲自己的一切，为儿子的梦想保驾护航。从青岛到北京，从金融 ​  展开全文c	2020年09月11日 13:59			6	https://weibo.com/3083673182/Jk7UMf0Js?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UMf0Js?uid=3083673182&rl=1
是婵哥呀	5653745451	Jk7UL5fZo	#黄子韬爸爸去世#韬爸是全世界最好的爸爸，韬爸是他最坚强的后盾，韬爸永远都把他保护的很好。可是真的太突然了🙏🙏🙏 ​	2020年09月11日 13:59	4	54	210	https://weibo.com/5653745451/Jk7UL5fZo?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UL5fZo?uid=5653745451&rl=1
在死生之巅和奶茶加珍珠	7303714908	Jk7UL8yg7	#黄子韬爸爸去世#好突然啊，52岁真的挺年轻的 ​	2020年09月11日 13:59		评论		https://weibo.com/7303714908/Jk7UL8yg7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UL8yg7?uid=7303714908&rl=1
星闻秘踪	2081350953	Jk7UKsvdi	#黄子韬爸爸去世#近日，黄子韬的父亲因病去世，享年52岁。黄子韬所创立的公司，也是发讣告说明这件事情。对于黄子韬父亲的离去，公司方也表示自己的难过，希望挚爱之人灵魂所达之处，没有任何痛苦。遵照家人们的意愿，黄忠东先生的丧事将一切从简。#来吃下我的安利# L星闻秘踪的微博视频 ​	2020年09月11日 13:59	36	15	201	https://weibo.com/2081350953/Jk7UKsvdi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UKsvdi?uid=2081350953&rl=1
三言财经	6476628742	Jk7UJAmOt	【龙韬娱乐创始人黄忠东病逝】龙韬娱乐官微发布讣告，称黄子韬的父亲、龙韬娱乐创始人兼执行董事黄忠东先生于2020年9月11日因病去世，享年52岁，遵照家属意愿，丧事将一切从简。O网页链接 #黄子韬爸爸去世# #黄子韬爸爸去世# @龙韬娱乐 ​	2020年09月11日 13:59		评论		https://weibo.com/6476628742/Jk7UJAmOt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jk7UJAmOt?uid=6476628742&rl=1
