原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	伊利伊利我是伊利	2740764993	伊利伊利我是伊利:晓组织第一次入侵木叶失败	赞[0]	2020-07-26 21:03:18	来自nova4自拍极点全面屏
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	kiwiiiiiiiiiiiiiiii8	5365866044	kiwiiiiiiiiiiiiiiii8:转发微博	赞[0]	2020-07-26 21:02:54	来自vivo X27
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	单纯的冲浪人罢了	2270997020	单纯的冲浪人罢了:不说了太牛了	赞[0]	2020-07-26 21:04:03	来自荣耀10青春版
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	TheShine要做南波万	3035260932	TheShine要做南波万:永远滴極叶村	赞[0]	2020-07-26 21:03:57	来自nova5Pro人像超级夜景
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	律政先锋_ZEPPELIN	5177819069	律政先锋_ZEPPELIN:来了来了	赞[0]	2020-07-26 21:03:50	来自荣耀20
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	真希背着书包的时光	2876587270	真希背着书包的时光:太强了，晒三三，卡卡鸡三三	赞[0]	2020-07-26 21:03:46	来自微博 weibo.com
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	王宝丁_	5215814109	王宝丁_:守护木叶	赞[1]	2020-07-26 21:03:34	来自iPhone XS
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	XX_Xayah	kichikugunshi	XX_Xayah:转发微博	赞[0]	2020-07-26 21:04:46	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	TaylorSwift_13_窦	chenxiang520dyz	TaylorSwift_13_窦:梗太多了呀	赞[0]	2020-07-26 21:04:20	来自LoveriPhone
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	-天晴的守候-	5262472238	-天晴的守候-:好活	赞[0]	2020-07-26 21:04:18	来自微博 weibo.com
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	_Looper	ztjoe	_Looper:节目效果爆炸！	赞[0]	2020-07-26 21:04:18	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	jerry-泍本	1887267674	jerry-泍本:手刃叛忍！守护木叶成功！	赞[1]	2020-07-26 21:04:18	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	ENCORRRE	6529172816	ENCORRRE:转发微博	赞[0]	2020-07-26 21:04:11	来自HUAWEI Mate 20 X
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	Chiyooo千代-v-	superjunior13hehai	Chiyooo千代-v-:rise！！！	赞[2]	2020-07-26 21:06:12	来自微博国际版
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	-NoThx-	2951501710	-NoThx-:守护木叶村！！！	赞[0]	2020-07-26 21:05:47	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	源计划-狗蛋	6337740281	源计划-狗蛋:哈哈哈哈哈哈哈哈哈哈哈哈哈	赞[0]	2020-07-26 21:05:28	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	imafish98	6423341557	imafish98:今晚是快乐图图时间！	赞[0]	2020-07-26 21:05:25	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	qqqqqding	tragdyding	qqqqqding:Repost	赞[0]	2020-07-26 21:05:22	来自iPhone 11 Pro
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	拾荒恶犬_	5442529858	拾荒恶犬_:lpl观赏性最强的比赛了，第四次忍界大战木叶获胜	赞[0]	2020-07-26 21:05:03	来自OnePlus 8 Pro
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	喜欢喝红茶UoU	7017971078	喜欢喝红茶UoU:太开心了	赞[0]	2020-07-26 21:05:02	来自vivo X23 AI非凡摄影
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	FairyDream_梦	6775177769	FairyDream_梦:转发微博	赞[0]	2020-07-26 21:08:25	来自搜狗高速浏览器
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	·鬆月·	3710881203	·鬆月·:草//@残夜晓楼星风绪://@TaylorSwift_13_窦: 梗太多了呀	赞[1]	2020-07-26 21:08:04	来自Android
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	zz掷果潘安	6338235779	zz掷果潘安://@花朝廿八w:好活木叶極守护成功 梦回s8，小姜今天太稳了，大家都好强 和李甜甜激动的楼下都能听见声音了	赞[0]	2020-07-26 21:08:03	来自小米10 青春版 5G
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	哎呀这里有个坑	6178429809	哎呀这里有个坑:赢比赛太快乐了啥都想转	赞[0]	2020-07-26 21:07:56	来自vivo X27 Pro
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	浪味仙本仙__	2996420893	浪味仙本仙__:转发	赞[0]	2020-07-26 21:07:52	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	零落成羽iIi	5289393898	零落成羽iIi://@TaylorSwift_13_窦: 梗太多了呀	赞[0]	2020-07-26 21:07:42	来自微博 weibo.com
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	洛卡卡卡7	AOKI777	洛卡卡卡7:舒服了	赞[0]	2020-07-26 21:07:03	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	奈良没有小鹿	7044542810	奈良没有小鹿:转发微博	赞[0]	2020-07-26 21:08:53	来自HUAWEI Mate30 Pro 5G
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	shyboy啦啦	6320932991	shyboy啦啦:🐮🍻	赞[0]	2020-07-26 21:08:50	来自小米8 屏幕指纹版
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	超可爱的Marina	3093189147	超可爱的Marina:转发微博	赞[0]	2020-07-26 21:08:43	来自iPad客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	ccsweeeety_	5627816830	ccsweeeety_:🐂🍺 一个中路 参团率百分百 靠 太强了肉鸡	赞[0]	2020-07-26 21:08:41	来自iPhone客户端
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	Di-Dar等玫瑰	6934809376	Di-Dar等玫瑰:芜湖！起飞🛫🛫🛫	赞[0]	2020-07-26 21:08:38	来自
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	西早欢乐跳	wanyweibo	西早欢乐跳:	赞[0]	2020-07-26 21:08:37	来自HUAWEI P30
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	主公这屎里有毒	2803885614	主公这屎里有毒:好活	赞[0]	2020-07-26 21:08:31	来自微博国际版
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	是骆一锅的锅	7367280746	是骆一锅的锅:转发微博	赞[0]	2020-07-26 21:09:23	来自华为手机 畅享玩不停
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	地球探险队记录本	2010700755	地球探险队记录本:舒服了	赞[1]	2020-07-26 21:09:23	来自微博国际版
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	菜鸡王大毛	5184831569	菜鸡王大毛:卡卡西真的顶	赞[0]	2020-07-26 21:09:10	来自微博 weibo.com
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	R0Tvet_	2440905984	R0Tvet_:强！木叶村！	赞[0]	2020-07-26 21:09:10	来自HUAWEI Mate 20
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	静语只想改个名	2281371747	静语只想改个名:泡芙对不起！！！今天导播运镜很有水平！！！	赞[0]	2020-07-26 21:09:58	来自小米8周年旗舰手机
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	是傲娇的娇	5366025198	是傲娇的娇:转发微博	赞[0]	2020-07-26 21:09:52	来自HUAWEI P30
LPL赛事没品图	:木叶飞舞之处，火亦生生不息#LPL忍界大战##iG战胜TES##iG TES# 	2020-07-26 21:02:16    	宇宙无敌猪猪啵	6805230110	宇宙无敌猪猪啵:有被最后一P的小姜帅到	赞[0]	2020-07-26 21:09:51	来自微博国际版
