原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	大一子50646	5872912386	大一子50646:转发微博	赞[0]	2020-08-02 16:28:23	来自360安全浏览器
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	马黎明先生	575699001	马黎明先生:【三星手机都没有人买了 三星电脑更是被淘汰了】	赞[1]	2020-08-02 16:22:51	来自
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	55168论坛-上市公司调研网	55168web	55168论坛-上市公司调研网:转发微博	赞[1]	2020-08-02 16:16:01	来自
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	萍水相逢_55216	6038502276	萍水相逢_55216:转发微博	赞[0]	2020-08-02 16:11:40	来自vivo X27
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	知不道叁炮	7117527359	知不道叁炮:🇰🇷🥖	赞[0]	2020-08-02 15:58:48	来自iPhone
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	入侵响应	2621264905	入侵响应:转发微博	赞[0]	2020-08-02 23:38:08	来自Android
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	星罗齐步	6403348196	星罗齐步:转发微博	赞[0]	2020-08-02 20:29:02	来自OPPO K5
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	非新疆棉制不买	5403534820	非新疆棉制不买:举报这个垃圾轮子//@Exhibition_Fan:外资都赶紧跑吧，让红卫兵、忠犬们天天意淫，厉害了我的国。	赞[0]	2020-08-02 19:31:59	来自iPhone XR
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	北京-西瓜流星	2300582985	北京-西瓜流星:转发微博	赞[0]	2020-08-02 19:13:35	来自iPhone客户端
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	毓州	5838998659	毓州:转发微博	赞[0]	2020-08-02 18:14:05	来自iPhone客户端
新浪财经	:【#三星电子关闭在华最后一家电脑厂# 约850名员工受影响】　8月2日消息，韩国科技巨头三星表示，三星电子（Samsung Electronics Co.）将停止在中国的最后一家电脑工厂的运营。三星在发给员工的通知中提到，三星电子苏州电脑工厂的1700名合同制员工中，将有约半数人受到影响，但不包括那些从事研发的人员。三星电子关闭在华最后一家电脑厂 约850名员工受影响	2020-08-02 15:48:26    	干锅狗加瓶酒	6300393892	干锅狗加瓶酒:帝国主义夹着尾巴逃跑了！是我们胜利了！中国会越来越强大！	赞[0]	2020-08-02 16:53:19	来自小米手机5
