用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
电影经理人	2817120893	JeGT5kr3Y	#信条定档#诺兰新片《信条》定档9月4日上映！由于疫情影响，很多经典影片也在重映，包括诺兰的两部《星际穿越》8.2和《盗梦空间》8.28#开映大吉# 你会去电影院看诺兰的哪一部？ ​	2020年08月06日 19:59	1		170	https://weibo.com/2817120893/JeGT5kr3Y?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGT5kr3Y?uid=2817120893&rl=1
漫威DC电影	6788456247	JeGSV3lrf	#诺兰三部电影接连上映#诺兰三连，惊喜连连！8月2日《星际穿越》(重映)8月28日《盗梦空间》(重映)9月4日《信条》#信条定档# ​	2020年08月06日 19:59	2	1	13	https://weibo.com/6788456247/JeGSV3lrf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGSV3lrf?uid=6788456247&rl=1
我_京女krystal	5983915610	JeGSRbGkJ	#信条定档#恭喜隔壁木兰馋哭了 ​	2020年08月06日 19:59			1	https://weibo.com/5983915610/JeGSRbGkJ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGSRbGkJ?uid=5983915610&rl=1
太平洋电影院线	1627878287	JeGSyxvSm	#信条定档# 诺兰导演最新科幻烧脑力作9月4日 逆转时空 ​	2020年08月06日 19:58		评论		https://weibo.com/1627878287/JeGSyxvSm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGSyxvSm?uid=1627878287&rl=1
迷影映画	2369424827	JeGSu7GQD	好莱坞科幻动作大片#信条#曝光定档海报！诺兰导演再设时空迷局引爆期待！这不是时间之旅，而是时空逆转！这部最新科幻动作烧脑力作将带来怎样的挑战？9月4日，去影院揭晓答案！#信条定档# ​	2020年08月06日 19:58			2	https://weibo.com/2369424827/JeGSu7GQD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGSu7GQD?uid=2369424827&rl=1
黑弗尼科	5727360809	JeGS8xiQE	诺兰的新片《信条》内地定档9月4日上映，真的过年了！《星际穿越》《盗梦空间》再加上这部真的爽啊#信条定档# ​	2020年08月06日 19:57	2	8	28	https://weibo.com/5727360809/JeGS8xiQE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGS8xiQE?uid=5727360809&rl=1
wingduoduo树	5238309987	JeGS6fZCi	#诺兰三部电影接连上映#诺兰三连：近期他有三部新片+老片接连在内地影市上映：8月2日《星际穿越》(重映)，8月28日《盗梦空间》(重映)，9月4日《信条》。#信条定档#且《星穿》《盗梦》密钥都是3个月，即可能同时...（关注我下不过分吧~） ​	2020年08月06日 19:57		评论		https://weibo.com/5238309987/JeGS6fZCi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGS6fZCi?uid=5238309987&rl=1
满乔-野百合也有春天	2518117433	JeGRSzTnf	#信条定档#开心 今年可以在大银幕上看到诺导的3部电影！！ ​	2020年08月06日 19:56		评论		https://weibo.com/2518117433/JeGRSzTnf?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGRSzTnf?uid=2518117433&rl=1
FancyBroZhi	6446615972	JeGRPkWto	#信条定档#恭喜恭喜恭喜🎉 🎉🎉🎉🎉🎉🎉🎉🎉🎉 ​	2020年08月06日 19:56			1	https://weibo.com/6446615972/JeGRPkWto?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGRPkWto?uid=6446615972&rl=1
娱乐恶婆婆	1853024003	JeGRfgPxa	#信条定档#诺兰新片《信条》内地过审‼️官宣国内定档9月4日‼️期待的小手搓起来 ​	2020年08月06日 19:55		评论		https://weibo.com/1853024003/JeGRfgPxa?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGRfgPxa?uid=1853024003&rl=1
奇怪的路人丙	1644356164	JeGRcjwY7	#信条定档# 诺兰新片《信条》正式宣布定档9月4日内地上映,  O诺兰新片《信条》正式宣布定档9月4日内地上映 ​	2020年08月06日 19:55		评论		https://weibo.com/1644356164/JeGRcjwY7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGRcjwY7?uid=1644356164&rl=1
广州万达影城	1830322735	JeGR45pYL	终于来了！#信条定档#官宣定档9月4日！近期院线还有：8月2日《星际穿越》重映8月28日《盗梦空间》重映诺兰三部曲 ​​​	2020年08月06日 19:54		1		https://weibo.com/1830322735/JeGR45pYL?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGR45pYL?uid=1830322735&rl=1
痞痞鹅	7330442010	JeGQFyLz1	#信条定档# 华纳兄弟电影官方宣布，克里斯托弗·诺兰执导的新电影《信条》中国内地定档9月4日。就在下午鹅娘还在翘首以盼《信条》的定档，没想到惊喜来的如此之快，集美们，冲鸭～ ​	2020年08月06日 19:53	1	3	6	https://weibo.com/7330442010/JeGQFyLz1?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQFyLz1?uid=7330442010&rl=1
扑克脸doob	1015409061	JeGQpiDts	#诺兰##信条定档# 太嗨了！诺兰粉的狂欢！‼️诺兰最新力作《信条》定档9月4日‼️          2020年最重磅好莱坞巨制          即将燃爆全国院线          横跨洲际的特工行动          超越真实的时空逆转          邀你感受诺式烧脑          共探信条迷局 ​	2020年08月06日 19:53		3		https://weibo.com/1015409061/JeGQpiDts?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQpiDts?uid=1015409061&rl=1
丑鱼尼莫	1145642397	JeGQfxsOm	#信条定档# 诺兰烧脑大作《信条》内地档期终于来了。9月4日，影院见。这段时间，诺兰经典接踵而至。《星际穿越》8月2日，内地票房已破8亿。《盗梦空间》8月28日，据说和《花木兰》正面刚。《信条》9月4日。 L丑鱼尼莫的微博视频 ​	2020年08月06日 19:52	1	4	11	https://weibo.com/1145642397/JeGQfxsOm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQfxsOm?uid=1145642397&rl=1
小桃_Pippi	3608072587	JeGQfjaBu	#信条定档#9.4号已经开学了 ​	2020年08月06日 19:52		评论		https://weibo.com/3608072587/JeGQfjaBu?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQfjaBu?uid=3608072587&rl=1
Joyuto·Joestar	2076534113	JeGQemDfE	#信条定档#诺兰要榨干我的钱包吗这是不如把另外几部都一起安排了吧 ​	2020年08月06日 19:52			3	https://weibo.com/2076534113/JeGQemDfE?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQemDfE?uid=2076534113&rl=1
孔雀在东方	1851016695	JeGQdtoqY	#信条定档#给老子定住！ ​	2020年08月06日 19:52		评论		https://weibo.com/1851016695/JeGQdtoqY?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGQdtoqY?uid=1851016695&rl=1
Wakingupup	1628406467	JeGPUib6t	#信条定档#哇噢噢😯！ 2芜湖·无为县 ​	2020年08月06日 19:51		评论		https://weibo.com/1628406467/JeGPUib6t?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPUib6t?uid=1628406467&rl=1
二默黙	6874333734	JeGPL5j4l	#信条定档#诺兰三杀了，牛批啊 ​	2020年08月06日 19:51		评论		https://weibo.com/6874333734/JeGPL5j4l?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPL5j4l?uid=6874333734&rl=1
不疲惫小火锅	3267105575	JeGPIqGZ0	#信条定档#过年了 ​	2020年08月06日 19:51		评论		https://weibo.com/3267105575/JeGPIqGZ0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPIqGZ0?uid=3267105575&rl=1
喂到底让不让人注册	3179174840	JeGPtE8V7	#信条定档##盗梦空间# 诺兰三连冲冲冲！过年了，过年了 ​	2020年08月06日 19:50		评论		https://weibo.com/3179174840/JeGPtE8V7?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPtE8V7?uid=3179174840&rl=1
长沙万达影城	1807084635	JeGPo6RfK	终于来了！#信条定档#官宣定档9月4日！近期院线还有：8月2日《星际穿越》重映8月28日《盗梦空间》重映诺兰三部曲 ​​​ 2长沙 ​	2020年08月06日 19:50			2	https://weibo.com/1807084635/JeGPo6RfK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPo6RfK?uid=1807084635&rl=1
每日电影头条	2817078513	JeGPloVKp	#信条定档# 被鬼才导演克里斯托弗·诺兰承包的秋天！ 你都看吗？2020新片《信条》定档9.42010重映《盗梦空间》定档8.282014重映《星际穿越》定档8.2#开映大吉# ​	2020年08月06日 19:50	119	117	366	https://weibo.com/2817078513/JeGPloVKp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPloVKp?uid=2817078513&rl=1
虎扑影视	5544594084	JeGPg5VHD	#信条定档#来，来了！诺兰导演新片《信条》中国内地正式定档9月4日上映。《信条》聚焦神秘的“时间逆转”，设定在国际间谍活动的世界，是一部悬疑动作大片，也是诺兰打造过的规模最大的电影，制作成本超过2亿美元。讲述主角遇上一桩超越真实时间的间谍任务L守望好莱坞的微博视频 ​	2020年08月06日 19:50		2	9	https://weibo.com/5544594084/JeGPg5VHD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGPg5VHD?uid=5544594084&rl=1
泰禾影城厦门闽南古镇店	6274375658	JeGP8oQLH	激动哭了！真的定档来了~~~9月4日，影城见！#信条定档# #信条# ​	2020年08月06日 19:50	1		1	https://weibo.com/6274375658/JeGP8oQLH?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGP8oQLH?uid=6274375658&rl=1
魔贱	1697348617	JeGP4yilb	#信条定档#诺兰巨作《信条》内地定档9月4日。该片因疫情原因在北美接连改档，内地定档后加上中国在内的70个国家将率先公映#预告小喇叭#L守望好莱坞的微博视频 ​	2020年08月06日 19:49	85	13	83	https://weibo.com/1697348617/JeGP4yilb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGP4yilb?uid=1697348617&rl=1
微排片	3659856192	JeGP4w4vd	#信条定档#诺兰导演新片《信条》发布定档海报，中国内地正式定档9月4日上映！ ​	2020年08月06日 19:49		评论		https://weibo.com/3659856192/JeGP4w4vd?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGP4w4vd?uid=3659856192&rl=1
最懂我的狮子座	2733078893	JeGOtmEDm	#信条定档#  诺兰三连 诺兰牛逼 ​	2020年08月06日 19:48			2	https://weibo.com/2733078893/JeGOtmEDm?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGOtmEDm?uid=2733078893&rl=1
赤朽叶家的传说一万叶	7299261668	JeGOjkYjD	#信条定档#质感 ​	2020年08月06日 19:48		评论		https://weibo.com/7299261668/JeGOjkYjD?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGOjkYjD?uid=7299261668&rl=1
FromJulyToNovember	6298809000	JeGOb1lyU	#信条定档#  终于……又有可以看的新片了 ​	2020年08月06日 19:47		评论		https://weibo.com/6298809000/JeGOb1lyU?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGOb1lyU?uid=6298809000&rl=1
硬核少女HC	2118617661	JeGNYAtGp	电影#信条定档#诺兰巨作《信条》内地定档9月4日。该片因疫情原因在北美接连改档，内地定档后加上中国在内的70个国家将率先公映。该片由约翰·大卫·华盛顿、罗伯特·帕丁森、伊丽莎白·德比齐主演，故事聚焦国际间谍活动的世界，据悉这部影片是诺兰打造过的规模最大、最有雄心的电影，制作成本超2 ​  展开全文c	2020年08月06日 19:47		1	2	https://weibo.com/2118617661/JeGNYAtGp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNYAtGp?uid=2118617661&rl=1
肥啾电影	6301921859	JeGNY4yn6	#信条定档#诺兰巨作《信条》内地定档9月4日。该片因疫情原因在北美接连改档，内地定档后加上中国在内的70个国家将率先公映。该片由约翰·大卫·华盛顿、罗伯特·帕丁森、伊丽莎白·德比齐主演，故事聚焦国际间谍活动的世界，据悉这部影片是诺兰打造过的规模最大、最有雄心的电影，制作成本超2.2亿美元。你 ​  展开全文c	2020年08月06日 19:47	32	10	70	https://weibo.com/6301921859/JeGNY4yn6?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNY4yn6?uid=6301921859&rl=1
说书女孩	6732970337	JeGNN5fK2	#信条定档#诺兰巨作《信条》内地定档9月4日。该片因疫情原因在北美接连改档，内地定档后加上中国在内的70个国家将率先公映。该片由约翰·大卫·华盛顿、罗伯特·帕丁森、伊丽莎白·德比齐主演，故事聚焦国际间谍活动的世界，据悉这部影片是诺兰打造过的规模最大、最有雄心的电影，制作成本超2.2亿美元。你 ​  展开全文c	2020年08月06日 19:46		1		https://weibo.com/6732970337/JeGNN5fK2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNN5fK2?uid=6732970337&rl=1
weiwei叨电影	1171146922	JeGNMfk0B	#信条定档#来了来了，它来了！IMAX约起 ​	2020年08月06日 19:46		评论		https://weibo.com/1171146922/JeGNMfk0B?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNMfk0B?uid=1171146922&rl=1
yzz07	6070625173	JeGNBwuBK	#信条定档#星际穿越 盗梦空间 信条我的钱都是诺兰的 ​	2020年08月06日 19:46			1	https://weibo.com/6070625173/JeGNBwuBK?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNBwuBK?uid=6070625173&rl=1
独舌美少女	2332567627	JeGNubBAs	#信条定档# 确定了，《信条》 定档9月4日！确定内地上映！诺兰2014科幻大片《星际穿越》8月2日已重映诺兰2010烧脑大片《盗梦空间》8月28日重映诺兰2020新片《信条》9月4日上映 L独舌美少女的微博视频 ​	2020年08月06日 19:46	117	116	379	https://weibo.com/2332567627/JeGNubBAs?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNubBAs?uid=2332567627&rl=1
守望好莱坞	1803310643	JeGNucIL0	#诺兰三部电影接连上映#诺兰三连。近期他有三部新片+老片接连在内地影市上映：8月2日《星际穿越》(重映)，8月28日《盗梦空间》(重映)，9月4日《信条》。#信条定档#且《星穿》《盗梦》密钥都是3个月，即可能同时在映。想找一天算好时间连着刷完，@ 有没有哪家影院排片愿意稍微方便下咱这样的 ​	2020年08月06日 19:46	396	194	1321	https://weibo.com/1803310643/JeGNucIL0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JeGNucIL0?uid=1803310643&rl=1
