用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
馅包包全四界坠可爱	6518211588	Jefonwm16	#二十不惑#啥？？大宝喜欢赵优秀？？那和大熊分手了？？？这剧情转得对非会员太不友好了吧#姜小果去周寻老家# 寻果给麻麻冲！！！寻果坠吊！！请齁死我！！！谢谢！ ​	2020年08月03日 22:00		5	5	https://weibo.com/6518211588/Jefonwm16?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefonwm16?uid=6518211588&rl=1
娱目	6111326420	Jefoe1UB8	#姜小果去周寻老家##二十不惑# 寻果上分！周寻家竟然在海边开了个民宿，两个人住在这里，也太浪漫了，不动心是不可能的吧？而且顺毛的周寻仿佛年轻了十岁，跟姜小果在一起，又是做家务又是沙滩散步，简直甜蜜暴击！O网页链接 ​	2020年08月03日 21:59			4	https://weibo.com/6111326420/Jefoe1UB8?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefoe1UB8?uid=6111326420&rl=1
Virginia_XQ	7373908843	JefoaadK2	#姜小果去周寻老家#寻果🔒死！！！给我表白在一起接吻！！！ ​	2020年08月03日 21:59		评论		https://weibo.com/7373908843/JefoaadK2?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefoaadK2?uid=7373908843&rl=1
小丸子喜欢吃吃吃	7307771844	Jefo7fa6x	#姜小果去周寻老家#寻果还有戏吧，不要be ​	2020年08月03日 21:59		评论		https://weibo.com/7307771844/Jefo7fa6x?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefo7fa6x?uid=7307771844&rl=1
圈剧	1196842253	Jefo5rx4k	二十不惑#姜小果去周寻老家#姜小果担心周寻因为职场受挫心情不好，于是请假去周寻老家，来了一场说走就走的“旅行”没想到被周寻告知没房间，还好周寻爸爸神助攻，“没有空房，就让她去你房间住阿” 姜小果开心的在房间里又蹦又跳，周寻看到这一幕也开心的笑了起来  ​  展开全文c	2020年08月03日 21:59	201	100	528	https://weibo.com/1196842253/Jefo5rx4k?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefo5rx4k?uid=1196842253&rl=1
喜欢吃菠萝的小朋友	7373674156	Jefo11Mfh	#姜小果去周寻老家#周寻可以和我谈恋爱吗！太喜欢周总！新进墙头金世佳 ​	2020年08月03日 21:59		评论		https://weibo.com/7373674156/Jefo11Mfh?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefo11Mfh?uid=7373674156&rl=1
捕风0662	6570567874	JefnZvSx4	#姜小果去周寻老家#小段 你转身离开 有些话说不出来～O网页链接 ​	2020年08月03日 21:59			4	https://weibo.com/6570567874/JefnZvSx4?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnZvSx4?uid=6570567874&rl=1
-我要夏天a	5379573739	JefnY2jYX	#姜小果去周寻老家# 就这对今晚还让我开心点 ​	2020年08月03日 21:58			7	https://weibo.com/5379573739/JefnY2jYX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnY2jYX?uid=5379573739&rl=1
我是馒头aaa	3914067493	JefnR1fxq	【金世佳 卜冠今《#二十不惑#》播至第34-35集！——#姜小果去周寻老家# 了！！整晚都很甜！小果陪周总一起海边散步，吃着周总给做的爱心早餐，日子美好到不想回去上班！】今晚，小果担心周寻没有拉到投资心情不好，追夫到周总老家，住在了周总的房间，还有蓝天、大海和民宿！！这一 ​  展开全文c	2020年08月03日 21:58		评论		https://weibo.com/3914067493/JefnR1fxq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnR1fxq?uid=3914067493&rl=1
剧社长	6383639407	Jefnxqskw	二十不惑#姜小果去周寻老家#姜小果都去过周寻老家了，看这两人也是甜的不行。这是不是意味着这弟弟没戏了？不行不行，我还是喜欢段振宇！ ​	2020年08月03日 21:57	208	204	325	https://weibo.com/6383639407/Jefnxqskw?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefnxqskw?uid=6383639407&rl=1
爱维-kool	6186475786	JefnwzpTt	#姜小果去周寻老家#  有戏有戏，必须给我在一起!!!! ​	2020年08月03日 21:57		评论		https://weibo.com/6186475786/JefnwzpTt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnwzpTt?uid=6186475786&rl=1
废柴厌世	6615339949	Jefnutan0	#姜小果去周寻老家#想看他俩在一起了gkd ​	2020年08月03日 21:57		评论		https://weibo.com/6615339949/Jefnutan0?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefnutan0?uid=6615339949&rl=1
我有两只小羊x	1017135075	JefnogVVX	#姜小果去周寻老家#姜小果和周寻给我快点结婚！！！！ ​	2020年08月03日 21:57			1	https://weibo.com/1017135075/JefnogVVX?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnogVVX?uid=1017135075&rl=1
新娱	2782682084	JefnnoNKb	新娱看剧：#二十不惑# 预告1关晓彤/梁爽、金世佳/周寻、牛骏峰/赵优秀、卜冠今/姜小果、李庚希/罗艳、董思怡/段家宝、王安宇/段振宇石头发现自己的工作其实是妈妈帮忙找的，生气地找大宝质问：这份工作的机会，是我妈让你告诉我的吧？不知石头和妈妈闹翻内情的大宝很委屈：你之前不是什么都听妈妈的 ​  展开全文c	2020年08月03日 21:57	109	115	263	https://weibo.com/2782682084/JefnnoNKb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnnoNKb?uid=2782682084&rl=1
当时我就八卦了	1773456030	JefnmwBoW	#姜小果去周寻老家# 小果陪周寻一起海边散步，吃着周总给做的爱心早餐有点美好呀 L当时我就八卦了的微博视频 ​	2020年08月03日 21:57	126	126	418	https://weibo.com/1773456030/JefnmwBoW?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnmwBoW?uid=1773456030&rl=1
朕的江山有你一半	6611143800	JefnmikKb	#姜小果去周寻老家#果然深圳封印寻寻的恋爱细胞吧！ L朕的江山有你一半的微博视频 ​	2020年08月03日 21:57			1	https://weibo.com/6611143800/JefnmikKb?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefnmikKb?uid=6611143800&rl=1
心灵的小物语	7048839918	Jefn8nRUQ	年少岁月，爱情就像一卷诘屈聱牙的经文，我一直渴望着有人陪我一起参悟，跋山涉水，穿越亚细亚的迷雾，抬头看到十二只白鹭鸶飞过湖泊上的秋幕。#姜小果去周寻老家# ​	2020年08月03日 21:56			2	https://weibo.com/7048839918/Jefn8nRUQ?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefn8nRUQ?uid=7048839918&rl=1
娱记大魔王	3317768554	JefmI7d4v	#姜小果去周寻老家#get到了金世佳的颜值，暗戳戳的表爱意，日常询问:周寻和姜小果什么时候才能在一起啊? ​	2020年08月03日 21:55	104	105	590	https://weibo.com/3317768554/JefmI7d4v?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefmI7d4v?uid=3317768554&rl=1
Hin啦啦啦	7210763354	JefmlCrhe	#姜小果去周寻老家#原地在一起快一点 快一点🙃 ​	2020年08月03日 21:55		评论		https://weibo.com/7210763354/JefmlCrhe?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JefmlCrhe?uid=7210763354&rl=1
小狐晕晕	6319454583	Jefm8A7dp	#姜小果去周寻老家#嗯嗯铁树开花了 ​	2020年08月03日 21:54			2	https://weibo.com/6319454583/Jefm8A7dp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/Jefm8A7dp?uid=6319454583&rl=1
