用户名	用户id	用户字母	发布内容	发布时间	转发数	评论数	点赞数	电脑版链接	手机版链接
哀家戒酒了	3479655531	JktUJ4gvz	#婚礼现场6台吊车放鞭炮#6台吊车摆在路中间，这不是暂用公共场合了吗？而且还有过往的车辆，有钱任性，但是安全更重要吧！ ​	2020年09月13日 21:59			2	https://weibo.com/3479655531/JktUJ4gvz?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktUJ4gvz?uid=3479655531&rl=1
小北侃娱乐	5144117194	JktUHBAKq	#婚礼现场6台吊车放鞭炮#就想问，这条路是他家修的吗？就像电视剧里暴发户才会干的事 ​	2020年09月13日 21:59		评论		https://weibo.com/5144117194/JktUHBAKq?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktUHBAKq?uid=5144117194&rl=1
皮克皮克皮克特biubiu	6513651279	JktUzyuSj	#婚礼现场6台吊车放鞭炮#笑死了，热闹是真的热闹，但还是要注意安全呐~ ​	2020年09月13日 21:59	2	1	5	https://weibo.com/6513651279/JktUzyuSj?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktUzyuSj?uid=6513651279&rl=1
华夏铸军魂	5855598209	JktUoFL6U	#婚礼现场6台吊车放鞭炮#13日早上，辽宁锦州，结婚现场6台吊车放鞭炮 果然有钱人的世界不是我能想象的… L华夏铸军魂的微博视频 ​	2020年09月13日 21:59		5	8	https://weibo.com/5855598209/JktUoFL6U?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktUoFL6U?uid=5855598209&rl=1
吃西瓜会吐西瓜籽的西瓜	2296294901	JktTVoudp	#婚礼现场6台吊车放鞭炮#热闹是热闹了，但也要注意安全啊，万一蹦到什么易燃物体就不好了 ​	2020年09月13日 21:58		评论		https://weibo.com/2296294901/JktTVoudp?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktTVoudp?uid=2296294901&rl=1
漫大叔动漫社	5337179145	JktTO5O59	#婚礼现场6台吊车放鞭炮#这是南方的鞭炮，想看看北方的 L漫大叔动漫社的微博视频 ​	2020年09月13日 21:57			1	https://weibo.com/5337179145/JktTO5O59?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktTO5O59?uid=5337179145&rl=1
南山有瑜呀	5246424243	JktTyEhXi	#婚礼现场6台吊车放鞭炮# 鞭炮这种东西你说图喜庆，但它说到底只能带来污染环境啊，你要是为了听响，买个电子鞭炮机或者雇一台 ​	2020年09月13日 21:57	4	评论		https://weibo.com/5246424243/JktTyEhXi?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktTyEhXi?uid=5246424243&rl=1
阿云Huen	6049977021	JktTy6cwR	乍一看以为观音菩萨发出了仙气，求好运上天！ #婚姻# #婚礼现场6台吊车放鞭炮# ​	2020年09月13日 21:57	1		7	https://weibo.com/6049977021/JktTy6cwR?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktTy6cwR?uid=6049977021&rl=1
阿拉so的阿拉豆	5349296927	JktTrikDF	#婚礼现场6台吊车放鞭炮# 我们这边都不让放鞭炮啥的了 放了立马有警察来抓你 ​	2020年09月13日 21:56		评论		https://weibo.com/5349296927/JktTrikDF?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktTrikDF?uid=5349296927&rl=1
养只小橘·	6608374822	JktT3ETco	#婚礼现场6台吊车放鞭炮#热闹是热闹，但是不太好🙊 ​	2020年09月13日 21:55		评论		https://weibo.com/6608374822/JktT3ETco?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktT3ETco?uid=6608374822&rl=1
喜欢下雨也很好	5261487914	JktT2rRQt	#婚礼现场6台吊车放鞭炮#这.... 看着是挺有排面的，就是烟有点大，噼里啪啦吓到路边的花花草草就不好啦注意安全，不建议模仿之前好像还有个甩鞭子代替放鞭炮的，那个就蛮好的，环保低碳，锻炼身体. . 等你婚礼，给你安排王艺瑾@硬糖少女303-王艺瑾 ​	2020年09月13日 21:55		评论		https://weibo.com/5261487914/JktT2rRQt?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktT2rRQt?uid=5261487914&rl=1
达摩行	2560281842	JktSUs26w	#婚礼现场6台吊车放鞭炮#能不能普通点。总感觉有点过于出奇。 2西安·蓝田县 ​	2020年09月13日 21:55			5	https://weibo.com/2560281842/JktSUs26w?refer_flag=1001030103_&type=repost	https://weibo.cn/repost/JktSUs26w?uid=2560281842&rl=1
