原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	飞鸟·脚步·鸣笛	6323069092	飞鸟·脚步·鸣笛:转发微博	赞[0]	2020-07-17 22:46:23	来自nova5Pro人像超级夜景
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	恬淡如诗2019	6400425302	恬淡如诗2019:转发微博	赞[0]	2020-07-17 22:40:37	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	FYXM2015	1009363181	FYXM2015:7月16日，陕西渭南数百辆共享单车被渣土车倒进垃圾场。17日，临渭区城管局回应称，共享单车乱停乱放的现象屡禁不止，尽管多次对共享单车公司罚钱和约谈，但收效甚微。在这种情况下，执法人员采取了比较极端的办法。😱	赞[0]	2020-07-17 22:39:57	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	今世迷缘	2595423992	今世迷缘:官方回应数百辆共享单车被丢垃圾场：执法不符合程序 将赔偿损失！7月16日，陕西渭南数百辆共享单车被渣土车倾倒在垃圾填埋场。回应称，共享单车乱停乱放屡禁不止，尽管多次对共享单车公司罚钱和约谈，但收效甚微。在这种情况下，执法人员采取了比较极端的办法。	赞[0]	2020-07-17 23:25:56	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	嫣然如花1314	5737313699	嫣然如花1314:😱😱😱执法不符合程序 将赔偿损失！	赞[0]	2020-07-17 23:24:09	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	不再倒走的狼	906036996	不再倒走的狼:官方回应数百辆共享单车被丢垃圾场：执法不符合程序 将赔偿损失！7月16日，陕西渭南数百辆共享单车被渣土车倾倒在垃圾填埋场。17日，临渭区城管局回应称，共享单车乱停乱放的现象屡禁不止，尽管多次对共享单车公司罚钱和约谈，但收效甚微。在这种情况下，执法人员采取了比较极端的办法。	赞[0]	2020-07-17 23:18:35	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	丽莎就是丽莎	2937721044	丽莎就是丽莎:官方回应数百辆共享单车被丢垃圾场：执法不符合程序 将赔偿损失！7月16日，陕西渭南数百辆共享单车被渣土车倾倒在垃圾填埋场。17日，临渭区城管局回应称，共享单车乱停乱放的现象屡禁不止，尽管多次对共享单车公司罚钱和约谈，但收效甚微。在这种情况下，执法人员采取了比较极端的办法。	赞[0]	2020-07-17 23:13:37	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	一指流砂之风华	6068928682	一指流砂之风华:管理缺失！	赞[0]	2020-07-17 23:08:27	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	bzdzdl2019	7274900619	bzdzdl2019:转发微博	赞[0]	2020-07-17 22:58:54	来自iPhone客户端
思明博览	:各地共享单车“坟场”，你想说什么？via👉：禅理禅趣的微博视频 #官方回应数百辆共享单车被丢垃圾场# 	2020-07-17 22:38:31    	马坡岭那边朗梨人	3854260924	马坡岭那边朗梨人:转发微博	赞[0]	2020-07-19 02:32:45	来自OPPO超视野全面屏R15
