原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	xiaofeng133	6453064853	xiaofeng133:回复@我心飞翔smile:放心，你死了谁都不会管的//@我心飞翔smile:如果小偷死了，司机会被追责吧。	赞[0]	2020-07-21 14:56:02	来自HUAWEI P10 Plus
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	用户7440022367兰亭	7440022367	用户7440022367兰亭:为好心的司机师傅点赞。	赞[0]	2020-07-21 14:50:12	来自三星A9 Star 纯粹美拍
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	爱ME就陪我去远方	2850396845	爱ME就陪我去远方:转发微博	赞[0]	2020-07-21 14:44:32	来自OPPO A7x
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	夜行侠的低语	720789769	夜行侠的低语:转发微博	赞[0]	2020-07-21 14:40:30	来自nova6SE好看拍出来看
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	金钢160929	5281051941	金钢160929:转发微博	赞[0]	2020-07-21 14:39:01	来自iPhone客户端
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	华夏保险六安	7325085465	华夏保险六安:转发微博	赞[0]	2020-07-21 14:38:48	来自前置双摄vivo X9
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	简简略单才能海枯石烂	6479335973	简简略单才能海枯石烂:为司机点赞！！！！	赞[0]	2020-07-21 14:34:12	来自小米10 Pro
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	简简略单才能海枯石烂	6479335973	简简略单才能海枯石烂:为司机点赞！！！！	赞[0]	2020-07-21 14:34:12	来自小米10 Pro
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	永远不能重来	7377324005	永远不能重来:转发微博	赞[0]	2020-07-21 21:55:52	来自Redmi Note 8 Pro四摄
环球网	:【#小偷行窃后逃跑公交司机跳窗追回#】19日，陕西咸阳11路公交上，一乘客突然大喊钱丢了，司机立即靠边停车并锁好车门。监控显示，一男子挤在老人身旁非常可疑，他听到报警后突然跳窗逃跑，司机王师傅跟着跳窗追出。在路人帮助下，将男子制服并追回现金800元。青蕉视频的微博视频 	2020-07-21 14:33:15    	et-pan	6364725780	et-pan:转发微博	赞[0]	2020-07-21 18:02:20	来自荣耀手机 勇敢做自己
