原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	smvpk	6979389267	smvpk:转发微博	赞[0]	2020-07-21 17:09:28	来自vivo X23全息幻彩
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	smvpk	6979389267	smvpk:转发微博	赞[0]	2020-07-21 17:09:28	来自vivo X23全息幻彩
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	风靡万千斜眼	5538334233	风靡万千斜眼:转发微博	赞[0]	2020-07-21 17:10:20	来自小米9
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	意wmy义	6419136050	意wmy义:不错努力，加油吧	赞[0]	2020-07-21 17:10:18	来自OPPO K3 硬核少年
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	邮厢	6022369081	邮厢:张嘉倪说的太好了	赞[0]	2020-07-21 17:10:14	来自Redmi K30 全速热爱
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	我想吃小小鱼干	7300333899	我想吃小小鱼干:加油	赞[0]	2020-07-21 17:10:15	来自
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	杭子博v587	6134228326	杭子博v587:人美心善正能量的姐姐姐姐真的好暖心呀！每个人都有自己不一样的美呀~ 	赞[0]	2020-07-21 17:09:57	来自OPPO R9s
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	杭子博v587	6134228326	杭子博v587:人美心善正能量的姐姐姐姐真的好暖心呀！每个人都有自己不一样的美呀~ 	赞[0]	2020-07-21 17:09:57	来自OPPO R9s
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	婆婆让我说话	7470224122	婆婆让我说话:支持博主	赞[0]	2020-07-21 17:10:26	来自Android客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	艾薇儿熊呢	6198348417	艾薇儿熊呢:太棒了喜欢	赞[0]	2020-07-21 17:10:24	来自iPhone客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	羽婷君	6676526275	羽婷君:转发微博	赞[0]	2020-07-21 17:10:19	来自小米CC9e
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	美佳最美	7309256082	美佳最美:是最棒的	赞[0]	2020-07-21 17:10:36	来自iPhone客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	残雪断桥20245	7333025271	残雪断桥20245:张嘉倪真是太美了！	赞[0]	2020-07-21 17:10:51	来自OPPO R9 Plus
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	开往小幸福	3820612313	开往小幸福:你们最棒的	赞[0]	2020-07-21 17:10:46	来自iPhone客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	大米水彩	7411434366	大米水彩:真的特别漂亮，非常喜欢。	赞[0]	2020-07-21 17:10:46	来自iPad客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	大米水彩	7411434366	大米水彩:真的特别漂亮，非常喜欢。	赞[0]	2020-07-21 17:10:46	来自iPad客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	粗一幅画	7369103755	粗一幅画:收藏起来，谢谢博主分享	赞[0]	2020-07-21 17:11:22	来自Android客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	美食家1001	6703044784	美食家1001:嘉倪太暖了，非常优秀的！	赞[0]	2020-07-21 17:11:02	来自vivo AI智慧拍照X21i
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	灰大大大萌萌	6142937385	灰大大大萌萌:转发微博	赞[0]	2020-07-21 17:10:54	来自iPhone客户端
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	小妮子的路途	7346280832	小妮子的路途:爱了，我们都在呢	赞[0]	2020-07-21 17:10:53	来自荣耀 9X
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	小妮子的路途	7346280832	小妮子的路途:爱了，我们都在呢	赞[0]	2020-07-21 17:10:53	来自荣耀 9X
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	北港不夏夏沫	6575544159	北港不夏夏沫:现在是越来越喜欢张嘉倪了，一直都很好看，做自己是最棒的	赞[0]	2020-07-21 17:18:56	来自nova6 自拍大不一样
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	圆滚滚江	6486376453	圆滚滚江:张嘉倪真是人美心善，已经被圈粉了	赞[0]	2020-07-21 17:16:43	来自疯子江江Android
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	小张同学zmt	5342198604	小张同学zmt:两个姐姐都超级棒啦！一定要好好的	赞[0]	2020-07-21 17:16:26	来自vivo Y5s 闪充强续航
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	瑶妹带你乱鲨	7008517361	瑶妹带你乱鲨:表白全世界最好的yamy	赞[0]	2020-07-21 17:15:21	来自追剧神器小米平板4
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	种花得菌菇	5549215891	种花得菌菇:yamy在我心里就是最棒的女孩子	赞[0]	2020-07-21 17:14:32	来自追剧神器小米平板4
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	星星月亮在谈情说爱	5835904632	星星月亮在谈情说爱:不错，做好自己最重要，不要在意别人的眼光，每个女孩都是独一无二的存在	赞[0]	2020-07-21 17:14:26	来自Redmi K30 全速热爱
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	决不吃辣	7039462302	决不吃辣:嘉倪好暖，看得出来姐姐很善良，Yamy也不要自卑呀	赞[0]	2020-07-21 17:14:20	来自Android
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	小雨点点滴j	7453291504	小雨点点滴j:好善良的小姐姐	赞[0]	2020-07-21 17:12:45	来自
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	想去玩啊啊啊啊啊啊	5479162821	想去玩啊啊啊啊啊啊:心疼yamy姐姐	赞[0]	2020-07-21 17:12:24	来自nova7Pro你在焦点在
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	想去玩啊啊啊啊啊啊	5479162821	想去玩啊啊啊啊啊啊:心疼yamy姐姐	赞[0]	2020-07-21 17:12:24	来自nova7Pro你在焦点在
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	715米	7288700120	715米:张嘉倪长得让人看起来特别舒服 而且还很够意思 很棒的姐姐	赞[0]	2020-07-21 17:29:08	来自vivo智能手机
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
娱乐圈小妖	:#张嘉倪为Yamy发声# 张嘉倪发文力挺Yamy：“我觉得你很美，真的美。”每个女孩子都是最独一无二的存在，不要相信那些神经病的话啦，Yamy你超棒的！！我们都在 	2020-07-21 17:03:54    	南城gsh5	6731721140	南城gsh5:转发微博	赞[0]	2020-07-21 18:25:35	来自微博 HTML5 版
