原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	泡芙脏脏奶	6402077175	泡芙脏脏奶:好棒好棒	赞[0]	2020-07-19 21:24:36	来自前后2000万 OPPO R11
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	Me是月亮邮递员	7324659322	Me是月亮邮递员:这个太帅了	赞[0]	2020-07-19 21:24:35	来自Redmi K20 Pro 真旗舰
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	密哥很酷	6308013105	密哥很酷:转发微博	赞[0]	2020-07-19 21:24:32	来自vivo U3 强劲芯动力
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	做一个见异思迁的人吧	7334082182	做一个见异思迁的人吧:转发微博	赞[0]	2020-07-19 21:24:32	来自nova6 5G自拍大不一样
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	涵晓沫809	6095035031	涵晓沫809:非常漂亮哦	赞[0]	2020-07-19 21:24:31	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	犀牛与蜂鸟666	7457633348	犀牛与蜂鸟666:越来越会唱了	赞[0]	2020-07-19 21:24:45	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	我要吃西红柿2009	7362512812	我要吃西红柿2009:大爱哦	赞[0]	2020-07-19 21:24:45	来自Android客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	铁齿铜牙灏夫	6172946303	铁齿铜牙灏夫:真的非常的喜欢，，高音，太棒了	赞[0]	2020-07-19 21:24:43	来自Redmi K20 Pro 尊享版
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	草莓酱罐头19	7333921610	草莓酱罐头19:转发微博	赞[0]	2020-07-19 21:24:41	来自荣耀V20 4800万3D相机
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	一个可爱多嘻	5517001153	一个可爱多嘻:爱辽	赞[0]	2020-07-19 21:24:41	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	可爱头目A	6034898364	可爱头目A:确实很不错	赞[0]	2020-07-19 21:24:39	来自前后2000万 OPPO R11
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	人总会变ljj	6348014271	人总会变ljj:真的是太棒了，好厉害！	赞[0]	2020-07-19 21:24:59	来自vivo Y3 闪充强续航
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	我默我	5249899709	我默我:	赞[0]	2020-07-19 21:24:51	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	咕噜咕噜爱笑	7316601106	咕噜咕噜爱笑:转发微博	赞[1]	2020-07-19 21:24:51	来自OPPO K3 硬核少年
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	戏中人入了戏	5257700987	戏中人入了戏:唱功没得说	赞[0]	2020-07-19 21:24:50	来自小米8周年旗舰手机
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	囧小佳1	7372994165	囧小佳1:颜值与实力并存，太棒了	赞[1]	2020-07-19 21:25:12	来自
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	美美哒哒小女	5541800476	美美哒哒小女:姐姐好棒啊	赞[0]	2020-07-19 21:25:09	来自Android
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	月牙岛主zsy	7454362686	月牙岛主zsy:哇，真的太好听了。	赞[0]	2020-07-19 21:25:08	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	万般皆是命半点不由人啊	6079397441	万般皆是命半点不由人啊:张靓颖唱歌真的很好，听高音好听。	赞[0]	2020-07-19 21:25:07	来自iPhone客户端
教父娱乐	:#张靓颖全开麦# #张靓颖好稳#张靓颖的现场好稳，一如既往的开口跪，高音真的好牛 	2020-07-19 21:18:07    	奔跑的小牛ll	6407941041	奔跑的小牛ll:真的非常优秀	赞[0]	2020-07-19 21:25:04	来自小米8周年旗舰手机
