原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	不哈可哈	5982440307	不哈可哈:转发微博	赞[0]	2020-07-25 21:41:02	来自小米8 SE
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	伊伊伊伊8	5693991692	伊伊伊伊8:转发微博	赞[0]	2020-07-25 21:41:27	来自iPhone客户端
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	小李小李_暴富锦鲤_LL	5315842867	小李小李_暴富锦鲤_LL:太酷了吧	赞[0]	2020-07-25 21:41:22	来自HUAWEI P20
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	橙羲凰月	7460676566	橙羲凰月:节目组特意安排	赞[0]	2020-07-25 21:42:05	来自荣耀30S 5G 美由芯生
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	小么小傻帽	5957181961	小么小傻帽:太好了，666，赞一发	赞[0]	2020-07-25 21:42:04	来自三星Galaxy S10
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	娱乐圈颜	1935472775	娱乐圈颜:哇唔	赞[0]	2020-07-25 21:42:04	来自前置双摄vivo X9
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	此刻书小生i	5600832345	此刻书小生i:厉害厉害	赞[0]	2020-07-25 21:42:54	来自微博国际版
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	莫急莫生气	5278106133	莫急莫生气:转发微博	赞[0]	2020-07-25 21:42:44	来自前置双摄vivo X9
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	小进洋	6548072794	小进洋:这是什么情况？	赞[0]	2020-07-25 21:42:29	来自前后2000万 OPPO R11
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	婷婷有点甜_	5328637516	婷婷有点甜_:这个赛制	赞[0]	2020-07-25 21:42:24	来自nova5Pro人像超级夜景
追娱少女	:#明日之子赛制 棒打鸳鸯#胡总“棒打鸳鸯”这个形容也是搞笑，但是这个赛制也太扎心了吧节目组！刀片已经在去的路上了 	2020-07-25 21:39:42    	婷婷有点甜_	5328637516	婷婷有点甜_:好无语	赞[0]	2020-07-25 21:42:19	来自nova5Pro人像超级夜景
