原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	柠檬味的晨伽呀	7345586859	柠檬味的晨伽呀:转发微博	赞[0]	2020-07-18 21:41:32	来自HUAWEI P20
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	努力攒钱呐	6013229073	努力攒钱呐:钟汉良这波很棒，加油	赞[0]	2020-07-18 21:41:26	来自OPPO Reno Z
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	夏威夷果仁儿儿儿	7358672508	夏威夷果仁儿儿儿:转发微博	赞[0]	2020-07-18 21:41:23	来自红米Redmi
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	薄荷味微风的夏天	7390589282	薄荷味微风的夏天:钟汉良太可爱了	赞[0]	2020-07-18 21:41:11	来自nova5Pro人像超级夜景
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	不会轻易放弃的橙子Janet	5798005990	不会轻易放弃的橙子Janet:真的很棒耶	赞[0]	2020-07-18 21:42:00	来自HUAWEI P20
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	饭圈大男孩	5838127471	饭圈大男孩:钟汉良太帅了	赞[0]	2020-07-18 21:41:50	来自nova5Pro人像超级夜景
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	一颗发光的鹅卵石	5758098764	一颗发光的鹅卵石:跳的不错呦	赞[0]	2020-07-18 21:41:48	来自iPhone客户端
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	泡牛奶澡的奥利奥_	6878078227	泡牛奶澡的奥利奥_:钟汉良跳的好搞笑啊	赞[0]	2020-07-18 21:43:40	来自vivo Z5x性能实力派
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	柠檬不萌20520	7350338006	柠檬不萌20520:多才多艺呀厉害了	赞[0]	2020-07-18 21:43:22	来自OnePlus 5
王牌星探	:#钟汉良舞蹈实力##钟汉良跳美少女战士#街舞3开播之前一直担心哇队的体能会比不上弟弟们，结果完全打脸有没有，开场大秀帅到不行，队长battle也完全没在怕的！有被钟汉良队长这一波美少女战士感动到王牌星探的微博视频 	2020-07-18 21:40:37    	一个爱喝柠檬水的小仙女	7470009282	一个爱喝柠檬水的小仙女:真的太可爱了！	赞[0]	2020-07-18 21:43:17	来自HUAWEI nova 3i
