原用户名	原内容	原发布时间	转发用户名	转发用户id	转发内容	点赞数	转发时间	转发来源
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	追星鹅	6694101633	追星鹅:吴邪不愧是你	赞[0]	2020-09-13 21:39:09	来自OPPO超视野全面屏R15
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	闹闹哄哄003	5946131216	闹闹哄哄003:真的是	赞[0]	2020-09-13 21:39:09	来自OPPO A9
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	lxy你是书里的长安	6109656139	lxy你是书里的长安:转发微博	赞[0]	2020-09-13 21:39:45	来自小米8周年旗舰手机
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	追星鹅	6694101633	追星鹅:要回家继承家业	赞[0]	2020-09-13 21:39:44	来自OPPO超视野全面屏R15
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	lxy你是书里的长安	6109656139	lxy你是书里的长安:一直有执念	赞[0]	2020-09-13 21:39:43	来自小米8周年旗舰手机
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	jason的梦想星空	1995771721	jason的梦想星空:打算追追看	赞[0]	2020-09-13 21:39:39	来自OPPO超视野全面屏R15
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	ROY的小元宝	6877883919	ROY的小元宝:吴邪不愧是你	赞[0]	2020-09-13 21:39:24	来自OPPO随光而变R17
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	彼岸落寞	2463032865	彼岸落寞:打算追追看	赞[0]	2020-09-13 21:39:17	来自荣耀8 美得与众不同
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	旺仔牛奶加点蜂蜜	7295707585	旺仔牛奶加点蜂蜜:追剧	赞[0]	2020-09-13 21:40:11	来自OPPO Reno Z
新剧小能手	:#陈一鸣得不到怕失去#《亲爱的自己》朱一龙中医也太神了，直接说出了陈一鸣的心病还说现代人的心病就是六个字：“得不到，怕失去”所以陈一鸣心里一直有执念啊 新剧爆料的微博视频 	2020-09-13 21:38:18    	茜小仙女敏敏	6318555000	茜小仙女敏敏:是的呀，执念！	赞[0]	2020-09-13 21:40:08	来自HUAWEI nova 3
